Operation #,Agency Number,Operation/Caregiver Name,Address,City,State,Zip,County,Phone,Type,Status,Issue Date,Capacity,Email Address,Facility ID,Monitoring Frequency,Infant,Toddler,Preschool,School
"1424666","","ABC Children's Academy #2","9450 ROUND UP LN ","HOUSTON","TX","77064","HARRIS",832-604-6062,"Licensed Center - Child Care Program","Full Permit",8/24/2012,144,"","997728","","Y","Y","Y","Y"
"1425486","","ABC Children's Learning Center","8385 ANTOINE DR ","HOUSTON","TX","77088","HARRIS",281-445-0606,"Licensed Center - Child Care Program","Full Permit",9/28/2012,105,"qualitychildcare@hotmail.com","998928","","Y","Y","Y","Y"
"1406487","","ABC Home","7106 ROOS RD ","HOUSTON","TX","77074","HARRIS",832-659-8363,"Licensed Child-Care Home","Full Permit",6/27/2012,12,"","976971","","Y","Y","Y","Y"
"1636304","","ABC Kids Academy","11739 EDENSTONE DR ","CYPRESS","TX","77429","HARRIS",281-961-4477,"Licensed Child-Care Home","Initial",11/2/2016,12,"care@abc-kids-academy.com","1257794","","Y","Y","Y","Y"
"1620251","","ABC Kidz Klub","20010 DOHERTY CIR ","KATY","TX","77449","HARRIS",281-676-4871,"Licensed Child-Care Home","Full Permit",11/4/2016,12,"","1238043","","Y","Y","Y","Y"
"1602517","","ABC Lighthouse Childcare, LLC","19507 LIGHTHOUSE SCENE LN ","CYPRESS","TX","77433","HARRIS",832-271-7522,"Licensed Child-Care Home","Full Permit",5/4/2016,12,"the.abc.lighthouse@gmail.com","1218124","","Y","Y","Y","Y"
"549942","","ABC Word Academy","7350 W T C JESTER BLVD ","HOUSTON","TX","77088","HARRIS",281-445-9673,"Licensed Center - Child Care Program","Full Permit",10/13/2000,75,"mariam.munoz32@gmail.com","166018","","Y","Y","Y","N"
"501815","","Abiding Word Lutheran School","17123 RED OAK DR ","HOUSTON","TX","77090","HARRIS",281-444-4426,"Licensed Center - Child Care Program","Full Permit",3/8/1995,125,"","131565","","Y","Y","Y","Y"
"868618","","Abigail  Hernandez","8623 ROCKCLIFF DR ","HOUSTON","TX","77037","HARRIS",832-489-2182,"Registered Child-Care Home","Registered",3/20/2007,12,"Korina0620@hotmail.com","309790","","Y","Y","Y","Y"
"1499793","","Academic & Enrichment Learning Center","7310 SILENT WOOD LN ","HOUSTON","TX","77086","HARRIS",281-999-6277,"Licensed Center - Child Care Program","Full Permit",4/15/2013,60,"","1093827","","N","Y","Y","Y"
"844295","","Academic Academy Christian Child Care Center","11948 GLOGER ST ","HOUSTON","TX","77039","HARRIS",281-219-3636,"Licensed Center - Child Care Program","Full Permit",5/10/2005,109,"a_academic@yahoo.com","261556","","Y","Y","Y","Y"
"824281","","Academic Beginnings Child Development Center","5350 AEROPARK DR ","HOUSTON","TX","77032","HARRIS",281-442-2223,"Licensed Center - Child Care Program","Full Permit",6/19/2003,86,"vjhines@buftx.org","218960","","Y","Y","Y","Y"
"1060346","","Academic Romper Room Child Development Center","13712 WALTERS RD STE 110","HOUSTON","TX","77014","HARRIS",281-444-0448,"Licensed Center - Child Care Program","Full Permit",4/28/2010,140,"academicromperroom@yahoo.com","553709","","Y","Y","Y","Y"
"54284","","Academy Learning Center","3519 BURKE RD ","PASADENA","TX","77504","HARRIS",713-943-2560,"Licensed Center - Child Care Program","Full Permit",2/16/1987,75,"cpalomarez@att.net","95095","","Y","Y","Y","Y"
"535288","","Academy of Little Scholars","8802 W MONTGOMERY RD ","HOUSTON","TX","77088","HARRIS",281-820-3332,"Licensed Center - Child Care Program","Full Permit",9/2/1998,46,"academy.scholars@outlook.com","154670","","Y","Y","Y","Y"
"1523272","","Achievers Academy","1014 LARKS TRACE LN ","HOUSTON","TX","77090","HARRIS",281-866-0594,"Licensed Child-Care Home","Full Permit",3/10/2014,12,"","1121959","","Y","Y","Y","Y"
"1516022","","Achievers Learning Education Xcellence","15607 LEE RD ","HOUSTON","TX","77032","HARRIS",346-227-9309,"Licensed Center - Child Care Program","Full Permit",10/4/2013,51,"","1112597","","Y","Y","Y","Y"
"1505901","","Acres Homes Head Start Center","6719 W MONTGOMERY RD ","HOUSTON","TX","77091","HARRIS",713-694-1619,"Licensed Center - Child Care Program","Full Permit",5/25/2013,85,"tjcamacho@avancehouston.org","1100626","","N","N","Y","Y"
"906053","","Acrokids Academy","1800 NASA PKWY ","WEBSTER","TX","77598","HARRIS",281-332-4496,"Licensed Center - Child Care Program","Full Permit",3/4/2010,255,"","367352","","Y","Y","Y","Y"
"1506155","","Ada  Ezeakunne","9903 S DAIRY ASHFORD RD APT 4301","HOUSTON","TX","77099","HARRIS",832-781-8287,"Registered Child-Care Home","Registered",1/7/2013,12,"","1100914","","Y","Y","Y","Y"
"868795","","Ada Garrett","2930 SANDPIPER ST ","HUMBLE","TX","77396","HARRIS",281-441-8134,"Registered Child-Care Home","Registered",3/14/2007,12,"","310067","","Y","Y","Y","Y"
"1631946","","Adebisi  Olushoga","6546 HOLLY COVE LN ","KATY","TX","77449","HARRIS",832-874-2242,"Registered Child-Care Home","Registered",9/14/2016,12,"","1252607","","Y","Y","Y","Y"
"1591436","","Adebukola  Oyebade","3342 UPLAND SPRING TRCE ","KATY","TX","77493","HARRIS",347-499-1309,"Registered Child-Care Home","Registered",9/4/2015,12,"","1206701","","Y","Y","Y","Y"
"1505876","","Adriana Perez","6922 PUERTA VISTA LN ","HOUSTON","TX","77083","HARRIS",832-713-0763,"Licensed Child-Care Home","Full Permit",7/31/2013,12,"Adrianaperez41609@hotmail.com","1100607","","Y","Y","Y","Y"
"1522585","","Adrieana Mitchell","1923 MACONDRAY DR ","HUMBLE","TX","77396","HARRIS",281-973-9416,"Registered Child-Care Home","Full Permit",9/11/2013,12,"adrieanam@gmail.com","1120902","","Y","Y","Y","Y"
"1540886","","Advent's Beloved Children  ABC Learning Center","5820 PINEMONT DR ","HOUSTON","TX","77092","HARRIS",713-686-8002,"Licensed Center - Child Care Program","Full Permit",2/13/2015,58,"abclearning@adventhouston.org","1146919","","Y","Y","Y","Y"
"1356566","","After 3 After School Program","5430 HIDALGO ST ","HOUSTON","TX","77056","HARRIS",713-269-5936,"Licensed Center - Before/After School Program","Full Permit",2/2/2012,133,"after3asp@gmail.com","919230","","N","N","N","Y"
"1594457","","After 3 After School Program  Durham Elementary School","4803 BRINKMAN ST ","HOUSTON","TX","77018","HARRIS",713-269-5936,"Licensed Center - Before/After School Program","Full Permit",2/29/2016,102,"","1210187","","N","N","Y","Y"
"1496278","","After 3 After School Programs","1401 W 43RD ST ","HOUSTON","TX","77018","HARRIS",713-269-5936,"Licensed Center - Before/After School Program","Full Permit",4/16/2013,180,"after3asp@gmail.com","1089297","","N","N","Y","Y"
"1605436","","After 3 After School Programs Ashford Elementary School","1815 SHANNON VALLEY DR ","HOUSTON","TX","77077","HARRIS",713-269-5936,"Licensed Center - Before/After School Program","Full Permit",7/14/2016,35,"","1221058","","N","N","N","Y"
"1521871","","After School Connections","4200 CRENSHAW RD ","PASADENA","TX","77504","HARRIS",713-740-0760,"Licensed Center - Before/After School Program","Full Permit",2/18/2014,40,"","1119991","","N","N","N","Y"
"822949","","Agape Christian Preschool & Child Care","1401 STRAWBERRY RD ","PASADENA","TX","77502","HARRIS",713-477-7941,"Licensed Center - Child Care Program","Full Permit",2/18/2003,139,"donna.miles@agapepreschool.com","216537","","Y","Y","Y","Y"
"1628955","","Ages and Stages Child Care Center","485 W PARKER RD ","HOUSTON","TX","77091","HARRIS",832-516-7211,"Licensed Center - Child Care Program","Full Permit",12/7/2016,60,"shabaac@gmail.com","1248859","","Y","Y","Y","Y"
"1552991","","Agnes Dutchess Herbert","11342 LOG CABIN LN ","TOMBALL","TX","77375","HARRIS",281-467-1937,"Registered Child-Care Home","Registered",1/22/2015,12,"","1162596","","Y","Y","Y","Y"
"1535322","","Ai Duc Nguyen","13030 ARDEN RIDGE LN ","HOUSTON","TX","77014","HARRIS",281-656-6963,"Registered Child-Care Home","Registered",3/21/2014,12,"","1138683","","Y","Y","Y","Y"
"1533875","","Ai Huong  Tran","11435 SAGEGLEN DR ","HOUSTON","TX","77089","HARRIS",281-464-3707,"Registered Child-Care Home","Registered",3/7/2014,12,"","1136561","","N","N","Y","Y"
"548266","","Ajoke Safurat Alabi","7131 WALKWAY ST ","HOUSTON","TX","77036","HARRIS",713-779-6986,"Registered Child-Care Home","Registered",3/3/2000,12,"professorakinkunmi@yahoo.com","164751","","Y","Y","Y","Y"
"981326","","Al Nur School","15203 BELLAIRE BLVD ","HOUSTON","TX","77083","HARRIS",281-530-2942,"Licensed Center - Child Care Program","Full Permit",11/3/2009,98,"info@alnurschool.com","460931","","Y","Y","Y","Y"
"546116","","Albury Head Start NCI","11125 ALBURY DR ","HOUSTON","TX","77096","HARRIS",713-777-8192,"Licensed Center - Child Care Program","Full Permit",3/24/2000,97,"emarroquin@Neighborhood-Centers.org","163146","","N","Y","Y","Y"
"1496900","","Aldine Community Transformation Center After-School Program","4700 ALDINE MAIL RTE ","HOUSTON","TX","77039","HARRIS",281-449-4828,"Licensed Center - School Age Program","Full Permit",1/24/2013,68,"mmstewart@buckner.org","1090058","","N","N","N","Y"
"851258","","Aldine Independent School District","15014 ALDINE WESTFIELD RD ","HOUSTON","TX","77032","HARRIS",281-985-7469,"Licensed Center - Child Care Program","Full Permit",9/15/2005,138,"","276634","","Y","Y","Y","N"
"400530","","Aldine ISD Transportation Nurs","14910 ALDINE WESTFIELD RD ","HOUSTON","TX","77032","HARRIS",281-985-6268,"Licensed Center - Child Care Program","Full Permit",9/14/1990,123,"","116125","","N","Y","Y","Y"
"538575","","Aldine ISD West Transportation Nursery","9900 ANTOINE DR ","HOUSTON","TX","77086","HARRIS",281-878-7813,"Licensed Center - Child Care Program","Full Permit",2/17/1999,78,"smcgartha@Aldine.K12.tx.us","157220","","N","Y","Y","Y"
"1633316","","Aleksandra Arnold","4618 KINGLET ST ","HOUSTON","TX","77035","HARRIS",206-423-5989,"Registered Child-Care Home","Full Permit",10/11/2016,12,"goodmorningrussianschool@gmail.com","1254469","","Y","Y","Y","Y"
"1499634","","Alexanders Academy","3110 FM 2920 RD ","SPRING","TX","77388","HARRIS",281-350-1546,"Licensed Center - Child Care Program","Full Permit",3/28/2013,153,"","1093628","","Y","Y","Y","Y"
"521205","","Alexanders Academy","625 BRANDT RD ","SPRING","TX","77373","HARRIS",281-353-2637,"Licensed Center - Child Care Program","Full Permit",10/8/1996,237,"kids@alexandersacademy.com","145475","","Y","Y","Y","Y"
"1570226","","Alianza Eco International School","12603 LOUETTA RD ","CYPRESS","TX","77429","HARRIS",281-643-7800,"Licensed Center - Child Care Program","Full Permit",12/23/2015,175,"info@alianzaecoschool.com","1183925","","Y","Y","Y","Y"
"510828","","Alice Bamsch","5915 WEEPING WILLOW RD ","HOUSTON","TX","77092","HARRIS",713-686-3641,"Registered Child-Care Home","Registered",9/13/1995,12,"cruisingmimi123@yahoo.com","137862","","Y","Y","Y","Y"
"879162","","Alief YMCA at Bush Elementary","9730 STROUD DR ","HOUSTON","TX","77036","HARRIS",281-495-9100,"Licensed Center - School Age Program","Full Permit",2/5/2008,140,"","324852","","N","N","N","Y"
"1047446","2729","Alief YMCA at Holmquist Elementary","15040 WESTPARK DR ","HOUSTON","TX","77082","HARRIS",281-495-9100,"Licensed Center - School Age Program","Full Permit",11/16/2010,102,"margotm@ymcahouston.org","538308","","N","N","Y","Y"
"1529313","","All American Learning Academy","1554A GEARS RD ","HOUSTON","TX","77067","HARRIS",281-587-8885,"Licensed Center - Child Care Program","Full Permit",9/12/2014,169,"kilamariecriss@aol.com","1130213","","Y","Y","Y","Y"
"1549848","","All Beautiful Children Enrichment Learning Center","12805 CULLEN BLVD STE D","HOUSTON","TX","77047","HARRIS",713-264-6733,"Licensed Center - Child Care Program","Full Permit",4/27/2015,23,"cooks.dinah@gmail.com","1158796","","Y","Y","Y","Y"
"1307875","","All Star Kids Academy","12610 RICHMOND AVE ","HOUSTON","TX","77082","HARRIS",281-558-2379,"Licensed Center - Child Care Program","Full Permit",10/10/2011,68,"","858578","","Y","Y","Y","Y"
"1306686","","All Star Learning Center","1517 GEARS RD STE A","HOUSTON","TX","77067","HARRIS",281-248-4040,"Licensed Center - Child Care Program","Full Permit",9/28/2011,161,"","856968","","Y","Y","Y","Y"
"872257","","All Stars Afterschool Club","675A W RANKIN RD ","HOUSTON","TX","77067","HARRIS",281-872-6600,"Licensed Center - School Age Program","Full Permit",12/21/2007,204,"Nwyouthcenter@yahoo.com","315006","","N","N","N","Y"
"941266","","All Stars Day Care & Preschool","917D GREENS RD ","HOUSTON","TX","77060","HARRIS",281-872-1916,"Licensed Center - Child Care Program","Full Permit",8/31/2009,163,"allstarsdaycarepreschool@yahoo.com","410388","","Y","Y","Y","Y"
"1632947","","All Starz Academy Inc.","19620 KUYKENDAHL RD STE B","SPRING","TX","77379","HARRIS",281-771-5411,"Licensed Center - Child Care Program","Full Permit",1/30/2017,134,"","1254011","","Y","Y","Y","Y"
"811678","","Allbright Academy","12321 BISSONNET ST ","HOUSTON","TX","77099","HARRIS",281-988-9610,"Licensed Center - Child Care Program","Full Permit",1/16/2002,67,"","195079","","Y","Y","Y","Y"
"1513206","","Almitas Daycare","13831 WOODFOREST BLVD ","HOUSTON","TX","77015","HARRIS",832-434-9995,"Licensed Child-Care Home","Full Permit",9/23/2013,12,"","1109311","","Y","Y","Y","Y"
"818659","","Alpha Academy","1647 CANDYTUFT CT ","HOUSTON","TX","77038","HARRIS",281-820-3399,"Licensed Center - Child Care Program","Full Permit",12/11/2002,51,"cynthiacepeda@aol.com","208704","","Y","Y","Y","Y"
"852473","","Alpha Academy #2","7722 VAN NESS ST ","HOUSTON","TX","77037","HARRIS",281-999-3822,"Licensed Center - Child Care Program","Full Permit",1/17/2006,59,"","279154","","Y","Y","Y","Y"
"1544074","","Alpha Academy #3","4627 VISTA RD ","PASADENA","TX","77504","HARRIS",713-325-2122,"Licensed Center - Child Care Program","Full Permit",1/30/2015,99,"yesramirez100@gmail.com","1151387","","Y","Y","Y","Y"
"1645054","","Alpha Beginnings Childcare and Learning Center","927 FRESA RD ","PASADENA","TX","77502","HARRIS",346-320-4934,"Licensed Center - Child Care Program","Initial",1/25/2017,79,"","1267581","","Y","Y","Y","Y"
"1644920","","Alpha Child Development Center","15518 SILVER RIDGE DR ","HOUSTON","TX","77090","HARRIS",281-866-8380,"Licensed Child-Care Home","Initial",1/12/2017,12,"","1267503","","Y","Y","Y","Y"
"555185","","Alpha Montessori","1908 HIALEAH DR ","SEABROOK","TX","77586","HARRIS",281-474-2222,"Licensed Center - Child Care Program","Full Permit",1/4/2001,85,"","170210","","Y","Y","Y","Y"
"414938","","Altha Taylor Jones","5310 LYNDHURST DR ","HOUSTON","TX","77033","HARRIS",832-893-3408,"Registered Child-Care Home","Registered",6/8/1992,12,"althatj@gmail.com","125701","","Y","Y","Y","Y"
"537227","","ALTHEA J. WALLACE","2039 DERBY DR ","HOUSTON","TX","77067","HARRIS",713-530-8962,"Registered Child-Care Home","Registered",7/23/1998,12,"altheawallace2014@gmail.com","156180","","Y","Y","Y","Y"
"1632987","","Amanda Guillot","17022 UPPER RIDGE LN ","HUMBLE","TX","77346","HARRIS",832-574-4938,"Registered Child-Care Home","Registered",9/9/2016,12,"amandaguillot@ymail.com","1254056","","Y","Y","Y","Y"
"882268","","Amanda Panda Preschool","20407 WILD BERRY DR ","KATY","TX","77449","HARRIS",713-885-2073,"Licensed Child-Care Home","Full Permit",5/13/2008,12,"","330722","","Y","Y","Y","Y"
"1441446","","Amazing Beginning Childcare Center","11240 FM 1960 RD W STE 205","HOUSTON","TX","77065","HARRIS",281-807-7701,"Licensed Center - Child Care Program","Full Permit",11/28/2012,85,"amazingbeginningcc@yahoo.com","1019508","","Y","Y","Y","Y"
"1536476","","Amazing Kid'z Christian Academy","12035 DE FORREST ST ","HOUSTON","TX","77066","HARRIS",281-537-6669,"Licensed Center - Child Care Program","Full Permit",9/26/2014,122,"","1140354","","Y","Y","Y","Y"
"211832","","Ambassador Christian DCC","10100 KLECKLEY DR ","HOUSTON","TX","77075","HARRIS",713-944-7960,"Licensed Center - Child Care Program","Full Permit",4/11/1986,231,"","101478","","Y","Y","Y","Y"
"1529722","","Amber Care Daycare & Learning Center","24503 CORNELL PARK LN ","KATY","TX","77494","HARRIS",832-520-8544,"Licensed Child-Care Home","Full Permit",7/2/2014,12,"ambercares@comcast.net","1130708","","Y","Y","Y","Y"
"866708","","Amber Jean Slaughter","10834 WHITE OAK CREEK CT ","CYPRESS","TX","77429","HARRIS",713-408-4204,"Registered Child-Care Home","Registered",12/22/2006,12,"ambersla@yahoo.com","306613","","Y","Y","Y","Y"
"204904","","America's Choice Childrens Center","8116 ANTOINE DR ","HOUSTON","TX","77088","HARRIS",281-445-2221,"Licensed Center - Child Care Program","Full Permit",4/2/1987,153,"jrogers939@aol.com","100804","","Y","Y","Y","Y"
"1538214","","American Dream Learning Center","14223 BLIGH ST ","HOUSTON","TX","77045","HARRIS",713-433-4800,"Licensed Child-Care Home","Full Permit",10/17/2014,12,"","1142927","","Y","Y","Y","Y"
"818760","","American Kids Athletics","3211B N FRY RD ","KATY","TX","77449","HARRIS",281-492-2411,"Licensed Center - Child Care Program","Full Permit",7/11/2002,204,"","208878","","N","N","N","Y"
"1462926","","Americas Choice Children Center","1910 S DAIRY ASHFORD RD ","HOUSTON","TX","77077","HARRIS",281-496-4114,"Licensed Center - Child Care Program","Full Permit",6/5/2012,169,"americas194757@yahoo.com","1046748","","Y","Y","Y","Y"
"204906","","Americas Choice Children Center","10792 BELLAIRE BLVD STE D","HOUSTON","TX","77072","HARRIS",281-933-7490,"Licensed Center - Child Care Program","Full Permit",12/20/1985,114,"","100805","","Y","Y","Y","Y"
"219915","","Americas Choice Children Center","11855 BISSONNET ST ","HOUSTON","TX","77099","HARRIS",281-498-3895,"Licensed Center - Child Care Program","Full Permit",11/19/1986,124,"","102405","","Y","Y","Y","Y"
"417146","","Americas Choice Children Center","10600 BELLAIRE BLVD STE 111","HOUSTON","TX","77072","HARRIS",281-983-5622,"Licensed Center - School Age Program","Full Permit",5/7/1993,64,"","127578","","N","N","N","Y"
"1349170","","Amviet Learning Center LLC","7419 S KIRKWOOD RD STE D","HOUSTON","TX","77072","HARRIS",832-661-7430,"Licensed Center - Child Care Program","Full Permit",1/26/2012,49,"janetnguyen24@aol.com","910495","","N","Y","Y","Y"
"1479226","","Amy Dilks","3131 CROSSOUT CT ","SPRING","TX","77373","HARRIS",832-878-0600,"Licensed Child-Care Home","Full Permit",1/7/2013,12,"","1067568","","Y","Y","Y","Y"
"1440711","","Amy El-Rai Brown","4107 BAROSSA VALLEY LN ","KATY","TX","77449","HARRIS",832-785-9526,"Registered Child-Care Home","Registered",6/8/2012,12,"","1018337","","Y","Y","Y","Y"
"407392","","Amy Grimes","7702 FRIARS COURT LN ","SPRING","TX","77379","HARRIS",281-376-7512,"Registered Child-Care Home","Registered",6/10/1991,12,"amygrimes58@gmail.com","120392","","Y","Y","Y","Y"
"886306","","Ana  Melendez","6603 SERRANO HILL LN ","SPRING","TX","77379","HARRIS",281-379-6906,"Registered Child-Care Home","Registered",12/19/2007,12,"","339245","","Y","Y","Y","Y"
"414208","","ANA HALL","9507 ELMVIEW TRACE LN ","HOUSTON","TX","77080","HARRIS",832-715-1312,"Registered Child-Care Home","Registered",4/23/1992,12,"anahall49@yahoo.com","125095","","Y","Y","Y","Y"
"825388","","ANA VIDES","4710 LIVE MEADOW LN ","KATY","TX","77449","HARRIS",713-391-0818,"Registered Child-Care Home","Registered",3/6/2003,12,"","221114","","Y","Y","Y","Y"
"1504454","","ANA's Learning Center","9720 JONES RD STE 160","HOUSTON","TX","77065","HARRIS",281-477-6618,"Licensed Center - Child Care Program","Full Permit",4/23/2013,68,"anaslearningcenter@hotmail.com","1099048","","Y","Y","Y","Y"
"1533150","","Andre  Williams","2846 WISNER CIR ","HOUSTON","TX","77014","HARRIS",832-446-6194,"Registered Child-Care Home","Registered",4/14/2014,12,"andrewms70@gmail.com","1135408","","Y","Y","Y","Y"
"860004","","ANDREA D. ROGERS","15614 MORNING DOVE DR ","HUMBLE","TX","77396","HARRIS",832-277-0856,"Registered Child-Care Home","Registered",5/23/2006,12,"","294274","","Y","Y","Y","Y"
"1496918","","Andrea S Combs","20223 BARON BROOK DR ","CYPRESS","TX","77433","HARRIS",832-206-3390,"Registered Child-Care Home","Registered",12/14/2012,9,"","1090090","","Y","Y","Y","Y"
"1581630","","Andrea's Angels Two","401 N WASHINGTON AVE ","MARSHALL","TX","75670","HARRISON",903-930-1895,"Licensed Center - Child Care Program","Full Permit",1/28/2016,143,"","1195238","","Y","Y","Y","Y"
"1512870","","Andrew  Davis","6000 SUNFOREST DR APT 2607","HOUSTON","TX","77092","HARRIS",281-748-6253,"Registered Child-Care Home","Registered",4/26/2013,12,"adavisjr05@gmail.com","1108866","","N","Y","Y","Y"
"1639408","","ANEW ECDC Learning Center ASP","2710 WILSON RD ","HUMBLE","TX","77396","HARRIS",281-467-4568,"Licensed Center - Before/After School Program","Initial",12/7/2016,34,"","1261187","","N","N","N","Y"
"889711","","Angel  Nguyen","6427 GUSTY TRAIL LN ","HOUSTON","TX","77041","HARRIS",713-896-4866,"Registered Child-Care Home","Registered",2/19/2008,12,"","345667","","Y","Y","Y","Y"
